user_id,item_id,timestamp
1001,5001,2023-10-15 08:30:22
1001,5002,2023-10-15 08:32:45
1002,5003,2023-10-15 09:15:10
1003,5001,2023-10-15 10:05:33
1001,5004,2023-10-15 11:20:17
1004,5005,2023-10-15 12:45:01
1002,5006,2023-10-15 13:10:55
1005,5007,2023-10-15 14:22:39
1003,5008,2023-10-15 15:07:12
1001,5002,2023-10-15 15:10:22
1006,5009,2023-10-15 16:30:44
1007,5010,2023-10-15 17:15:28
1002,5011,2023-10-15 18:02:19
1008,5012,2023-10-15 19:44:55
1001,5013,2023-10-15 20:10:01
1009,5014,2023-10-15 21:33:27
1010,5015,2023-10-15 22:45:11
1001,5016,2023-10-16 09:05:33
1002,5017,2023-10-16 10:20:17
1003,5018,2023-10-16 11:45:01
1001,,2023-10-16 12:10:55
,5019,2023-10-16 13:22:39
1004,5020,2023-10-16 14:07:12
